low_mod_cut,mod_high_cut,baseline,model,test_pct_low,test_pct_moderate,test_pct_high,mcc,macro_f1,accuracy,auc
0.4,0.65,False,XGBoost,20.1,15.1,64.8,0.7148,0.7831,0.8379,0.9539
0.4,0.65,False,LightGBM,20.1,15.1,64.8,0.7163,0.7849,0.8346,0.9552
0.4,0.65,False,KNN,20.1,15.1,64.8,0.6689,0.7324,0.8318,0.9396
0.4,0.7,True,Logistic Regression,20.1,18.0,61.8,0.6557,0.7501,0.7909,0.9229
0.4,0.7,True,Random Forest,20.1,18.0,61.8,0.7124,0.7882,0.8332,0.9483
0.4,0.7,True,XGBoost,20.1,18.0,61.8,0.7176,0.7925,0.8338,0.9527
0.4,0.7,True,LightGBM,20.1,18.0,61.8,0.7198,0.7941,0.8318,0.9544
0.4,0.7,True,KNN,20.1,18.0,61.8,0.6744,0.7526,0.8243,0.9387
0.4,0.75,False,Logistic Regression,20.1,20.9,59.0,0.653,0.7549,0.7861,0.9202
0.4,0.75,False,Random Forest,20.1,20.9,59.0,0.7134,0.7947,0.8286,0.9475
0.4,0.75,False,XGBoost,20.1,20.9,59.0,0.7204,0.7999,0.8312,0.9524
0.4,0.75,False,LightGBM,20.1,20.9,59.0,0.7238,0.8021,0.8306,0.9538
0.4,0.75,False,KNN,20.1,20.9,59.0,0.677,0.7646,0.8173,0.9379
0.4,0.8,False,Logistic Regression,20.1,23.7,56.2,0.6491,0.758,0.7813,0.9175
0.4,0.8,False,Random Forest,20.1,23.7,56.2,0.7148,0.8001,0.8251,0.9466
0.4,0.8,False,XGBoost,20.1,23.7,56.2,0.7211,0.8046,0.828,0.9514
0.4,0.8,False,LightGBM,20.1,23.7,56.2,0.7241,0.8065,0.8279,0.9527
0.4,0.8,False,KNN,20.1,23.7,56.2,0.6773,0.7721,0.8106,0.9366
0.45,0.6,False,Logistic Regression,23.1,9.2,67.7,0.6337,0.6939,0.7824,0.9222
0.45,0.6,False,Random Forest,23.1,9.2,67.7,0.7048,0.7348,0.8483,0.9473
0.45,0.6,False,XGBoost,23.1,9.2,67.7,0.7029,0.743,0.8397,0.9505
0.45,0.6,False,LightGBM,23.1,9.2,67.7,0.6998,0.7439,0.8309,0.9525
0.45,0.6,False,KNN,23.1,9.2,67.7,0.675,0.6453,0.8496,0.9328
0.45,0.65,False,Logistic Regression,23.1,12.1,64.8,0.6402,0.7146,0.7817,0.92
0.45,0.65,False,Random Forest,23.1,12.1,64.8,0.7059,0.7579,0.8382,0.9465
0.45,0.65,False,XGBoost,23.1,12.1,64.8,0.7088,0.7648,0.8348,0.9503
0.45,0.65,False,LightGBM,23.1,12.1,64.8,0.7072,0.7647,0.8284,0.9521
0.45,0.65,False,KNN,23.1,12.1,64.8,0.6691,0.6903,0.8348,0.9344
0.45,0.7,False,Logistic Regression,23.1,15.0,61.8,0.6429,0.7283,0.7795,0.9173
0.45,0.7,False,Random Forest,23.1,15.0,61.8,0.7109,0.7749,0.8333,0.9457
0.45,0.7,False,XGBoost,23.1,15.0,61.8,0.7119,0.7777,0.8301,0.9498
0.45,0.7,False,LightGBM,23.1,15.0,61.8,0.7124,0.7788,0.8262,0.9516
0.45,0.7,False,KNN,23.1,15.0,61.8,0.6706,0.7226,0.8245,0.9342
0.45,0.75,False,Logistic Regression,23.1,17.9,59.0,0.643,0.7375,0.7768,0.9148
0.45,0.75,False,Random Forest,23.1,17.9,59.0,0.7101,0.7829,0.8268,0.9448
0.45,0.75,False,XGBoost,23.1,17.9,59.0,0.7157,0.7881,0.8274,0.9497
0.45,0.75,False,LightGBM,23.1,17.9,59.0,0.7179,0.7902,0.8257,0.9514
0.45,0.75,False,KNN,23.1,17.9,59.0,0.6722,0.7426,0.816,0.934
0.45,0.8,False,Logistic Regression,23.1,20.7,56.2,0.6402,0.7429,0.7727,0.9122
0.45,0.8,False,Random Forest,23.1,20.7,56.2,0.7096,0.7891,0.8214,0.9436
0.45,0.8,False,XGBoost,23.1,20.7,56.2,0.7162,0.7945,0.8236,0.9488
0.45,0.8,False,LightGBM,23.1,20.7,56.2,0.7197,0.7971,0.8237,0.9505
0.45,0.8,False,KNN,23.1,20.7,56.2,0.6724,0.7548,0.8082,0.933
0.5,0.6,False,Logistic Regression,26.2,6.1,67.7,0.6151,0.6529,0.7669,0.9161
0.5,0.6,False,Random Forest,26.2,6.1,67.7,0.7182,0.6941,0.8615,0.9439
0.5,0.6,False,XGBoost,26.2,6.1,67.7,0.7021,0.7081,0.8435,0.9458
0.5,0.6,False,LightGBM,26.2,6.1,67.7,0.6911,0.7084,0.8266,0.9492
0.5,0.6,False,KNN,26.2,6.1,67.7,0.6988,0.5949,0.8637,0.9234
0.5,0.65,False,Logistic Regression,26.2,9.0,64.8,0.624,0.682,0.7678,0.9142
0.5,0.65,False,Random Forest,26.2,9.0,64.8,0.7077,0.7306,0.8441,0.9437
0.5,0.65,False,XGBoost,26.2,9.0,64.8,0.7023,0.7385,0.8326,0.9467
0.5,0.65,False,LightGBM,26.2,9.0,64.8,0.6981,0.7386,0.823,0.9493
0.5,0.65,False,KNN,26.2,9.0,64.8,0.6807,0.6388,0.8442,0.9285
0.5,0.7,False,Logistic Regression,26.2,12.0,61.8,0.6295,0.7023,0.7679,0.9116
0.5,0.7,False,Random Forest,26.2,12.0,61.8,0.7081,0.7549,0.8348,0.9432
0.5,0.7,False,XGBoost,26.2,12.0,61.8,0.7039,0.7567,0.8256,0.9465
0.5,0.7,False,LightGBM,26.2,12.0,61.8,0.7034,0.7585,0.8199,0.9492
0.5,0.7,False,KNN,26.2,12.0,61.8,0.674,0.6842,0.8298,0.9296
0.5,0.75,False,Logistic Regression,26.2,14.8,59.0,0.6314,0.7159,0.7664,0.9094
0.5,0.75,False,Random Forest,26.2,14.8,59.0,0.7082,0.7692,0.8272,0.9424
0.5,0.75,False,XGBoost,26.2,14.8,59.0,0.7105,0.7734,0.8246,0.9471
0.5,0.75,False,LightGBM,26.2,14.8,59.0,0.7102,0.7743,0.8197,0.9492
0.5,0.75,False,KNN,26.2,14.8,59.0,0.6724,0.7153,0.819,0.9303
0.5,0.8,False,Logistic Regression,26.2,17.6,56.2,0.6294,0.7241,0.7631,0.9069
0.5,0.8,False,Random Forest,26.2,17.6,56.2,0.7089,0.7791,0.8219,0.9418
0.5,0.8,False,XGBoost,26.2,17.6,56.2,0.7128,0.7834,0.8215,0.9467
0.5,0.8,False,LightGBM,26.2,17.6,56.2,0.7143,0.7852,0.8193,0.9488
0.5,0.8,False,KNN,26.2,17.6,56.2,0.6715,0.7347,0.8099,0.9297
